Found path: /home/kb/rlnd/p1/Banana_Linux/Banana.x86_64
Mono path[0] = '/home/kb/rlnd/p1/Banana_Linux/Banana_Data/Managed'
Mono config path = '/home/kb/rlnd/p1/Banana_Linux/Banana_Data/MonoBleedingEdge/etc'
Preloaded 'ScreenSelector.so'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	ScreenSelector.so
	libgrpc_csharp_ext.x86.so
Logging to /home/kb/.config/unity3d/Unity Technologies/Unity Environment/Player.log
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: BananaBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 37
        Number of stacked Vector Observation: 1
        Vector Action space type: discrete
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , , 
action size:  4
state size:  37
episode:  272  | episode reward:  7.0  |epsilon:  0.253
episode:  273  | episode reward:  1.0  |epsilon:  0.252
episode:  274  | episode reward:  8.0  |epsilon:  0.251
episode:  275  | episode reward:  4.0  |epsilon:  0.25
episode:  276  | episode reward:  15.0  |epsilon:  0.249
episode:  277  | episode reward:  5.0  |epsilon:  0.248
episode:  278  | episode reward:  7.0  |epsilon:  0.247
episode:  279  | episode reward:  1.0  |epsilon:  0.246
episode:  280  | episode reward:  10.0  |epsilon:  0.245
episode:  281  | episode reward:  8.0  |epsilon:  0.244
episode:  282  | episode reward:  5.0  |epsilon:  0.243
episode:  283  | episode reward:  7.0  |epsilon:  0.242
episode:  284  | episode reward:  12.0  |epsilon:  0.241
episode:  285  | episode reward:  10.0  |epsilon:  0.24
episode:  286  | episode reward:  11.0  |epsilon:  0.239
episode:  287  | episode reward:  15.0  |epsilon:  0.238
episode:  288  | episode reward:  12.0  |epsilon:  0.237
episode:  289  | episode reward:  9.0  |epsilon:  0.236
episode:  290  | episode reward:  10.0  |epsilon:  0.235
episode:  291  | episode reward:  8.0  |epsilon:  0.234
episode:  292  | episode reward:  8.0  |epsilon:  0.233
episode:  293  | episode reward:  13.0  |epsilon:  0.232
episode:  294  | episode reward:  13.0  |epsilon:  0.231
episode:  295  | episode reward:  7.0  |epsilon:  0.23
episode:  296  | episode reward:  13.0  |epsilon:  0.23
episode:  297  | episode reward:  6.0  |epsilon:  0.229
episode:  298  | episode reward:  10.0  |epsilon:  0.228
episode:  299  | episode reward:  7.0  |epsilon:  0.227
episode:  300  | episode reward:  4.0  |epsilon:  0.226
episode:  301  | episode reward:  13.0  |epsilon:  0.225
episode:  302  | episode reward:  10.0  |epsilon:  0.224
episode:  303  | episode reward:  6.0  |epsilon:  0.223
episode:  304  | episode reward:  11.0  |epsilon:  0.222
episode:  305  | episode reward:  6.0  |epsilon:  0.221
episode:  306  | episode reward:  16.0  |epsilon:  0.221
episode:  307  | episode reward:  2.0  |epsilon:  0.22
episode:  308  | episode reward:  8.0  |epsilon:  0.219
episode:  309  | episode reward:  8.0  |epsilon:  0.218
episode:  310  | episode reward:  7.0  |epsilon:  0.217
episode:  311  | episode reward:  8.0  |epsilon:  0.216
episode:  312  | episode reward:  6.0  |epsilon:  0.215
episode:  313  | episode reward:  12.0  |epsilon:  0.214
episode:  314  | episode reward:  9.0  |epsilon:  0.214
episode:  315  | episode reward:  9.0  |epsilon:  0.213
episode:  316  | episode reward:  8.0  |epsilon:  0.212
episode:  317  | episode reward:  12.0  |epsilon:  0.211
episode:  318  | episode reward:  4.0  |epsilon:  0.21
episode:  319  | episode reward:  11.0  |epsilon:  0.209
episode:  320  | episode reward:  11.0  |epsilon:  0.209
episode:  321  | episode reward:  9.0  |epsilon:  0.208
episode:  322  | episode reward:  11.0  |epsilon:  0.207
episode:  323  | episode reward:  8.0  |epsilon:  0.206
episode:  324  | episode reward:  6.0  |epsilon:  0.205
episode:  325  | episode reward:  11.0  |epsilon:  0.204
episode:  326  | episode reward:  13.0  |epsilon:  0.204
episode:  327  | episode reward:  9.0  |epsilon:  0.203
episode:  328  | episode reward:  10.0  |epsilon:  0.202
episode:  329  | episode reward:  4.0  |epsilon:  0.201
episode:  330  | episode reward:  11.0  |epsilon:  0.2
episode:  331  | episode reward:  12.0  |epsilon:  0.2
episode:  332  | episode reward:  8.0  |epsilon:  0.199
episode:  333  | episode reward:  9.0  |epsilon:  0.198
episode:  334  | episode reward:  16.0  |epsilon:  0.197
episode:  335  | episode reward:  14.0  |epsilon:  0.196
episode:  336  | episode reward:  8.0  |epsilon:  0.196
episode:  337  | episode reward:  10.0  |epsilon:  0.195
episode:  338  | episode reward:  16.0  |epsilon:  0.194
episode:  339  | episode reward:  9.0  |epsilon:  0.193
episode:  340  | episode reward:  7.0  |epsilon:  0.192
episode:  341  | episode reward:  10.0  |epsilon:  0.192
episode:  342  | episode reward:  8.0  |epsilon:  0.191
episode:  343  | episode reward:  14.0  |epsilon:  0.19
episode:  344  | episode reward:  15.0  |epsilon:  0.189
episode:  345  | episode reward:  5.0  |epsilon:  0.189
episode:  346  | episode reward:  13.0  |epsilon:  0.188
episode:  347  | episode reward:  10.0  |epsilon:  0.187
episode:  348  | episode reward:  9.0  |epsilon:  0.186
episode:  349  | episode reward:  13.0  |epsilon:  0.186
episode:  350  | episode reward:  7.0  |epsilon:  0.185
episode:  351  | episode reward:  9.0  |epsilon:  0.184
episode:  352  | episode reward:  17.0  |epsilon:  0.183
episode:  353  | episode reward:  10.0  |epsilon:  0.183
episode:  354  | episode reward:  14.0  |epsilon:  0.182
episode:  355  | episode reward:  12.0  |epsilon:  0.181
episode:  356  | episode reward:  19.0  |epsilon:  0.181
episode:  357  | episode reward:  15.0  |epsilon:  0.18
episode:  358  | episode reward:  14.0  |epsilon:  0.179
episode:  359  | episode reward:  10.0  |epsilon:  0.178
episode:  360  | episode reward:  8.0  |epsilon:  0.178
episode:  361  | episode reward:  15.0  |epsilon:  0.177
episode:  362  | episode reward:  12.0  |epsilon:  0.176
episode:  363  | episode reward:  13.0  |epsilon:  0.176
episode:  364  | episode reward:  9.0  |epsilon:  0.175
episode:  365  | episode reward:  11.0  |epsilon:  0.174
episode:  366  | episode reward:  14.0  |epsilon:  0.173
episode:  367  | episode reward:  17.0  |epsilon:  0.173
episode:  368  | episode reward:  1.0  |epsilon:  0.172
episode:  369  | episode reward:  10.0  |epsilon:  0.171
episode:  370  | episode reward:  6.0  |epsilon:  0.171
episode:  371  | episode reward:  8.0  |epsilon:  0.17
episode:  372  | episode reward:  9.0  |epsilon:  0.169
episode:  373  | episode reward:  17.0  |epsilon:  0.169
episode:  374  | episode reward:  7.0  |epsilon:  0.168
episode:  375  | episode reward:  11.0  |epsilon:  0.167
episode:  376  | episode reward:  10.0  |epsilon:  0.167
episode:  377  | episode reward:  11.0  |epsilon:  0.166
episode:  378  | episode reward:  11.0  |epsilon:  0.165
episode:  379  | episode reward:  12.0  |epsilon:  0.165
episode:  380  | episode reward:  12.0  |epsilon:  0.164
episode:  381  | episode reward:  8.0  |epsilon:  0.163
episode:  382  | episode reward:  7.0  |epsilon:  0.163
episode:  383  | episode reward:  17.0  |epsilon:  0.162
episode:  384  | episode reward:  14.0  |epsilon:  0.161
episode:  385  | episode reward:  10.0  |epsilon:  0.161
episode:  386  | episode reward:  7.0  |epsilon:  0.16
episode:  387  | episode reward:  12.0  |epsilon:  0.16
episode:  388  | episode reward:  17.0  |epsilon:  0.159
episode:  389  | episode reward:  12.0  |epsilon:  0.158
episode:  390  | episode reward:  9.0  |epsilon:  0.158
episode:  391  | episode reward:  14.0  |epsilon:  0.157
episode:  392  | episode reward:  7.0  |epsilon:  0.156
episode:  393  | episode reward:  11.0  |epsilon:  0.156
episode:  394  | episode reward:  13.0  |epsilon:  0.155
episode:  395  | episode reward:  12.0  |epsilon:  0.154
episode:  396  | episode reward:  11.0  |epsilon:  0.154
episode:  397  | episode reward:  7.0  |epsilon:  0.153
episode:  398  | episode reward:  14.0  |epsilon:  0.153
episode:  399  | episode reward:  6.0  |epsilon:  0.152
episode:  400  | episode reward:  8.0  |epsilon:  0.151
episode:  401  | episode reward:  14.0  |epsilon:  0.151
episode:  402  | episode reward:  11.0  |epsilon:  0.15
episode:  403  | episode reward:  3.0  |epsilon:  0.15
episode:  404  | episode reward:  7.0  |epsilon:  0.149
episode:  405  | episode reward:  17.0  |epsilon:  0.148
episode:  406  | episode reward:  15.0  |epsilon:  0.148
episode:  407  | episode reward:  14.0  |epsilon:  0.147
episode:  408  | episode reward:  11.0  |epsilon:  0.147
episode:  409  | episode reward:  9.0  |epsilon:  0.146
episode:  410  | episode reward:  7.0  |epsilon:  0.145
episode:  411  | episode reward:  8.0  |epsilon:  0.145
episode:  412  | episode reward:  7.0  |epsilon:  0.144
episode:  413  | episode reward:  16.0  |epsilon:  0.144
episode:  414  | episode reward:  13.0  |epsilon:  0.143
